Story ID,Duplicate Status,"Decision notes (if this is a duplicate, reference the story being kept)",Author,Category,Role/Users (As a....),Goal / Objective (I want...),Reason (So that...),Theme,"Technician MoSCoW Rating
",Field Manager  MoSCoW Rating,Priority by Author,Example,Additional Notes
F27,Keep,,Go Team,Front-end,A site user,I want to receive a notification before my VPN session expires ,so that I can extend my session without losing work or breaking my workflow.,Security & Authentication,Must Have,,Medium,,
F7,Keep,Duplicate with F8 and F83,Go Team,Front-end,As a field technician,"I want a persistent floating menu that combines PSB guides, pricing information, job aids, and TELUS apps/tools in a collapsible dropdown format ",so that I can instantly access critical resources from any page without disrupting my workflow or losing my place in documentation,Site Navigation and Menu,Should Have,,High,"Reasons for these specific options in the menu:
so that I can switch between different diagnostic and installation tools without having to type the URLs (e.g. Insight, eFulFilllment, DST, DSLE, ADC, BOLD)
so that I can demonstrate and troubleshoot customer facing applications with customers during service calls. (e.g.SmartHome Connect, MyTELUS, TELUS Health, TELUS Pet)
so that I can immediately verify equipment policies and procedures during installations
so that I can easily reference standard procedures and best practices while on site
so that I can demonstrate and troubleshoot these applications with customers during service calls.","Top bar with links to PSB, Offer Guide, Job Aids, HBR and Quicklinks. When clicking Job Aids and Quicklinks, a dropdown appears to select sub categories such as Quicklinks -> Apps, Tools and Job aids --> SHS, wHSIA, etc."
F15,Keep,"Duplicate with F107, F169",Go Team,Front-end,As a field technician,I want to see a banner at the top of the homepage when there is a critical system outages and service alerts,so that I'm immediately aware of any issues affecting my service calls,Site Navigation and Menu,Must Have,,High,,
F110,Eliminate,Keeping F25,InfoTech,Front-end,Field Technician,I want my authentication status to persist across all related internal sites,so that I don't need to re-authenticate when following links to other company resources.,Security & Authentication,Must Have,,Medium,,
F16,Keep,,Go Team,Front-end,A site user,I want to see a persistent breadcrumb trail while navigating,so that I always know where I am in the documentation hierarchy and can quickly go back.,Site Navigation and Menu,Could Have,,High,,
F8,Eliminate,Duplicate with F7,Go Team,Front-end,As a field technician,I want a persistent tools quick link menu ,so that I can switch between different diagnostic and installation tools without having to type the URLs,Site Navigation and Menu,Should Have,,,,
F10,Eliminate,Duplicate with F7,Go Team,Front-end,As a field technician,I want a centralized hub of job aid content through a quick link,so that I can easily reference standard procedures and best practices while on site,Site Navigation and Menu,Should Have,,,,
F11,Eliminate,Duplicate with F7,Go Team,Front-end,As a field technician,I want immediate access to TELUS customer-facing apps,so that I can demonstrate and troubleshoot these applications with customers during service calls.,Site Navigation and Menu,Should Have,,,,
F29,Keep,Duplicated with F93,Go Team,Front-end,As a field technician,to see links to Comms and related learning from Nudge then learning hub,i don't miss daily/weekly comms releases for CSD,Site Navigation and Menu,Should Have,,,import content from the Nudge platform or the content published to the nudge app now gets published to the frony page of this web page,High
F12,Keep,,Go Team,Front-end,As a field technician,I want to access current promotional offers and pricing on my mobile device,so that I can accurately discuss upgrade options with customers during service calls.,"Technical, Sales and Billing Documentation",Should Have,,,,
F13,Keep,,Go Team,Front-end,As a field technician,I want to easily find billing rules and guidelines,so that I can correctly charge customers for additional work or equipment while on site.,"Technical, Sales and Billing Documentation",Should Have,,,,
F83,Eliminate,,Value Center Team,Front-end,Technician,"A persistent floating menu combining PSB guides, pricing information, job aids, and TELUS apps/tools in a collapsible dropdown format",To access all essential resources from any page without losing current context,Site Navigation and Menu,Should Have,,High,,
F93,Eliminate,,Value Center Team,Front-end,Technician,"Links to CommsHub, Nudge, Learning Hub and related communications about the current topic",To access all relevant communications and updates from a single location,Site Navigation and Menu,Should Have,,Medium,,
F107,Eliminate,,InfoTech,Front-end,Field Technician,I want to see critical system outages and service alerts at the top of the homepage,so that I'm immediately aware of any issues affecting my service calls,Site Navigation and Menu,Must Have,,High,,
F169,Eliminate,,Irene,Front-end,A site user,To see an announcement banner at the top of the site pages ,So that site administrators can easily notify me when there's an urgent announcement ,Site Navigation and Menu,Must Have,,,E.g. Service notifications about the website,"Need the option to disable (e.g. no banner), close banner, require banner on all pages "
F14,Keep,,Go Team,Front-end,As a field technician,I want to access step-by-step installation guides with photos,so that I can properly install new equipment I'm not familiar with.,"Technical, Sales and Billing Documentation",Must Have,,,,
F42,Keep,Reference reason in F43.,Learning Team,Front-end,Field Technician,I want to access a QA checklist for each job type,"I need to self-review my work to ensure I am following quality, safety, customer service and reliability standards ","Technical, Sales and Billing Documentation",Must Have,,Low,"During pre-fielding, installation, troubleshooting or value generation/value centre job tasks",
F48,Keep,,Learning Team,Front-end,Field Technician,I want to quickly access a list of visual diagrams of equipment/hardware network topology configuration without searching for individual hardware job aids ,I want to quickly view how to connect hardware to create a network in a customer's home based on their scenario,"Technical, Sales and Billing Documentation",Must Have,,Medium,Hardware installation or troubleshooting of network configuration issues,
F75,Keep,,ValueGen team,Front-end,A site user ,Quickly access support numbers ,so if there are escalations or I am unsure how to complete a process i can do so quickly and efficiently ,"Technical, Sales and Billing Documentation",Must Have,,High,,
F43,Eliminate,Keeping F42,Learning Team,Front-end,Technician Manager,I want to access a QA checklist for each job type,"I want to coach my technicians to follow quality, safety, customer service and reliability standards to ensure excellent job performance","Technical, Sales and Billing Documentation",Must Have,Could Have,Low,Coaching and performance management,
F47,Eliminate,Keeping F48,Learning Team,Front-end,Field Technician,I want to quickly identify BAU equipment/hardware installation and swapping business rules,"I need to quickly identify BAU equipment/hardware business rules based on the job type, internet plan, hardware compatibility/topology/configuration or any other relevant criteria","Technical, Sales and Billing Documentation",Must Have,,High,Hardware Business Rules,
F77,Keep,,ValueGen team,Front-end,A site user ,want to be able to reference the soliciations policy ,to ensure my teams are meeting policy ,"Technical, Sales and Billing Documentation",Could Have,,High,,
F79,Keep,,ValueGen team,Front-end,A site user ,I want to be able to access updates about presidents club standings ,"so i can see where i stand, and know if i will make the list of top performers ","Technical, Sales and Billing Documentation",Won't Have (this time),,High,needs to have a seprate view for Home and partner teams ,
F81,Keep,,Value Center Team,Front-end,Content Owner (PSB),I want to integrate feedback mechanisms into billing rule pages,so that technicians can report unclear or outdated information quickly.,"Technical, Sales and Billing Documentation",Should Have,,High,,
F123,Keep,,CS&A Custom Home,Front-end,CS&A Technician,I want more video resources (or link to an external site / manufacturer KB) on how to install all equipments,So that I don't have to look too far and save time when I come across a new equipment to install for the first time,"Technical, Sales and Billing Documentation",Could Have,,Medium,,
F80,Eliminate,Duplicate of F5,Value Center Team,Front-end,Content Owner (PSB),I want to billing rule updates to appear on the homepage of the website,so that technicians are immediately informed of critical changes that affect customer charges.,Homepage,Must Have,,High,,
F146,Keep,,Learning Team,Front-end,Field Technician,I want to access specialized training videos and documents about equipment handling and safety protocols,So that I can safely use the tools and equipment required for my job without causing damage or putting myself at risk.,"Technical, Sales and Billing Documentation",Should Have,,High,Equipment Handling and Safety Training,
F84,Eliminate,Keeping F13,Value Center Team,Front-end,Technician,Billing rules and guides specific to the current job suggested,To ensure accurate billing and reduce errors without spending time searching,"Technical, Sales and Billing Documentation",Should Have,,Medium,,
F156,Keep,,Learning Team,Front-end,Technician Manager,"I want to be able to access a training calendar where I can view upcoming training courses, schedule my technicians for all upcoming internal and external training courses, view which technicians are already scheduled in a training course (roster) and remove a technician from a training course","So I have a 'one stop shop' for all training courses in a calendar view where I can easily self-serve to view training rosters and schedule technicians for internal training courses or external vendor courses (e.g. defensive driving, first aid)",Training & Learning Management,Could Have,Must Have,Medium,Internal and external training course scheduling,
F128,Keep,,Partner team,Front-end,Training leader,"I want to quickly acess specific learning paths to new hires based on their role (ex. SHS, Custom Homes, Legacy, Copper, Internet, TV, Wifi+ etc)",so that the technicians receive targeted training content relevant to their primary responsibilities.,Training & Learning Management,Must Have,Could Have,High,,
F94,Keep,,Value Center Team,Front-end,Technician,Highlighted links to available virtual learning sessions about the current topic,To easily identify and access training opportunities to enhance knowledge and skills,Training & Learning Management,Should Have,,Low,,
F129,Keep,,Partner team,Front-end,Training leader,I want to assign specific learning paths to new hires based on their role ,so that technicians receive targeted training content relevant to their primary responsibilities and skills.,Training & Learning Management,Could Have,Could Have,Medium,,
F130,Keep,,Partner team,Front-end,Content owner (Tech2Tech),I want to integrate animated training videos with related technical documentation and procedures,so that technicians can access comprehensive learning resources in one location while troubleshooting in the field,Training & Learning Management,Could Have,,High,,
F133,Keep,,Partner team,Front-end,Content owner,I want to create knowledge check questions that are accessible by training managers and technicians,so that we provide support on verifying technician's understanding of the materials.,Training & Learning Management,Could Have,,Medium,,
F134,Keep,,Learning Team,Front-end,Technician Manager,Request new hire equipment and training,To submit new hire training requests/equipment,Training & Learning Management,Could Have,Could Have,High,New hire onboarding process changes,
F136,Keep,,Learning Team,Front-end,Field Technician,I want to upskill or refresh my skills on a specific topic or KPI target using a list of self-directed learning resources,"I am being coached to improve my performance, I want to progress my career, or I have white space and want to learn something new or review prior training",Training & Learning Management,Could Have,,High,Technician initiated self-directed learning due to performance management or a desire to increase performance,
F143,Keep,,Learning Team,Front-end,Field Technician,"I want to see training videos and onboarding materials on the new website
",So that I can quickly get up to speed on technical procedures and equipment handling before going out on my first job.,Training & Learning Management,Should Have,,High,Training & Onboarding Support,
F144,Keep,,Learning Team,Front-end,Field Technician,I want to be able to find policies and guidelines related to service delivery on the new website,So that I can ensure I follow company standards and provide high-quality customer service during every job.,Training & Learning Management,Should Have,,High,Policies and Guidelines for Service Delivery,
F147,Keep,,Learning Team,Front-end,Technician Manager,"I want this to to serve as a central hub for all new hire training materials, including company policies, procedures, and safety guidelines",So that I can direct new technicians to one location where they can find everything they need to succeed in their roles.,Training & Learning Management,Should Have,Must Have,High,Centralized Resource Hub for New Hires,
F148,Keep,,Learning Team,Front-end,Technician Manager,I want new hires to have access to an onboarding checklist on the website,So that they can clearly track the steps they need to complete during their training and I can monitor their progress to ensure no steps are missed.,Training & Learning Management,Should Have,Must Have,High,,
F149,Keep,,Learning Team,Front-end,Technician Manager,"I want the website to offer interactive training features, such as quizzes and virtual simulations",So that new hires can test their knowledge and practice skills in a safe environment before going out into the field.,Training & Learning Management,Could Have,Should Have,Low,,
F150,Keep,,Learning Team,Front-end,Technician Manager,I want to review the training completion data for new hires on the website,So that I can identify knowledge gaps and determine if additional training or resources are needed to ensure they are fully prepared for the field.,Training & Learning Management,Should Have,Must Have,High,,
F151,Keep,,Learning Team,Front-end,Technician Manager,I want to review and approve training completion and certifications on the website,So that I can ensure my team members meet the necessary qualifications before they start performing specific tasks or advanced installations.,Training & Learning Management,Could Have,Could Have,High,,
F152,Keep,,Learning Team,Front-end,Technician Manager,I want to ensure that my team has completed all required compliance and regulatory training through the website,"So that I can be confident that all technicians are adhering to legal, safety, and company standards when working with customers.",Training & Learning Management,Could Have,Should Have,High,,
F153,Keep,,Learning Team,Front-end,Technician Manager,I want to track when certifications and training courses need to be renewed for each technician through the website,So that I can proactively schedule refresher courses or renewals before their certification expires and ensure compliance.,Training & Learning Management,Could Have,Should Have,Medium,Tracking Technician Certification Renewal Dates,
F154,Keep,,Learning Team,Front-end,Technician Manager,I want to use the website to organize group training sessions or workshops for my team,"So that I can ensure all technicians receive the same level of training at the same time, fostering team collaboration and uniformity in skills.",Training & Learning Management,Could Have,Could Have,Low,Coordinating Group Training Sessions,
F155,Keep,,Learning Team,Front-end,Field Technician,I want to access eLearning deep links to TeamHub within learning paths from this site,So I don't have search for the names of eLearning courses in TeamHub and I can use the learning path to help me access all the learning content I need ,Training & Learning Management,Could Have,,High,Integration with Learning Management System (LMS),
F158,Keep,,Learning Team,Front-end,Field Technician,"I want a gamified learning path experience that allows me to reach milestones, earn badges or certificates to track my progress",To motivate me and help me to track my learning path progress,Training & Learning Management,Could Have,,Low,"A technician progresses through a ""Network Expert"" learning path, earning badges and unlocking new content as they complete modules within a learning path.",
F159,Keep,,Learning Team,Front-end,Field Technician,I want a mentor to mentee matching system where I can connect with a senior technician to create an informal mentorship with a senior technician who wants to help new techncians build their expertise by sharing their expertise ,So I can build my expertise by asking for help from senior technicians who are willing to share their expertise via a social learning forum or Google chat group,Training & Learning Management,Could Have,,Low,Social learning informal mentorships,
F142,Keep,,Learning Team,Front-end,Technician Manager,I want to easily locate a place to request access for my new hire ,for managers to have a clear way to submit access for different novo requests/ access now requests etc for new hires.,Training & Learning Management,Could Have,Must Have,High,New hire onboarding process changes,
